Zipcode,SiteName,SiteType,Longitude,Latitude
78750,Frameworks Community Development Corporation,Single Family,-97.80172791,30.460423
78758,Frameworks Community Development Corporation,Duplex,-97.69786173,30.40679119
78745,Frameworks Community Development Corporation,FourPlex,-97.80338524,30.22744113
78745,Frameworks Community Development Corporation,FourPlex,-97.80299658,30.227950500000002
78745,Frameworks Community Development Corporation,FourPlex,-97.80327228,30.22764242
78702,Lifeworks,Multifamily,-97.70740009,30.26397344
78704,Dominium Management,Multifamily,-97.7562608,30.24222247
78704,Other,Multifamily,-97.75296898,30.225766999999998
78741,Other,Multifamily,-97.70116657,30.227718300000003
78745,M3 Multifamily,Multifamily,-97.7926596,30.22196473
78745,M3 Multifamily,Multifamily,-97.71337403,30.30116934
78723,Foundation Communities,Multifamily,-97.68008999,30.32161385
78759,Housing Authority of the City of Austin,Multifamily,-97.75509,30.421089000000002
78756,Burlington Ventures,Multifamily,-97.73296995,30.32693838
78721,Other,Duplex,-97.687279,30.259234000000003
78721,Other,Duplex,-97.687285,30.259463
78741,Capstone Management,Multifamily,-97.70358301,30.21631803
78741,Capstone Management,Multifamily,-97.70117385,30.21586125
78727,Pedcor Management Corporation,Multifamily,-97.65173237,30.39047199
78744,Pedcor Management Company,Multifamily,-97.7613179,30.18786679
78753,Capstone Management,Multifamily,-97.69155233,30.3365467
78721,Atlantic Pacific Management,Multifamily,-97.690776,30.2626
78721,Other,Multifamily,-97.690803,30.262632
78704,PSW Community Management,Multifamily,-97.77277233,30.24309617
78723,Lincoln Property Company,Multifamily,-97.67388989,30.29898107
78702,Austin Travis County Integral Care,Multifamily,-97.70056603,30.27352219
78703,Clarksville Community Development Corporation,ADU,-97.7651196,30.28133403
78754,Capstone Management,Multifamily,-97.64488191,30.38880659
78745,Lincoln Property Company,Multifamily,-97.77785641,30.19084454
78748,Accolade Property Management,Multifamily,-97.82835765,30.16590014
78730,Foundation Communities,Multifamily,-97.84577071,30.39907683
78745,SAMdorosa Communities,Multifamily,-97.80686954,30.20638764
78723,DMA Companies,Multifamily,-97.69844029999999,30.2909045
78705,American Campus Communities,Multifamily,-97.745467,30.292271999999997
78705,Quarters at Campus,Multifamily,-97.7459644,30.28498621
78705,Coastal Ridge Real Estate,Multifamily,-97.74454388,30.29296103
78705,Quarters at Campus,Multifamily,-97.74391417,30.29239274
78705,Quarters at Campus,Multifamily,-97.74320662,30.292070399999997
78705,Texan Properties,Multifamily,-97.74739903,30.2901088
78705,American Campus Communities,Multifamily,-97.74663415,30.28606359
78705,American Campus Communities,Multifamily,-97.74670947,30.28562987
78705,American Campus Communities,Multifamily,-97.74463321,30.29327736
78705,Texan Properties,Multifamily,-97.74945961,30.28985058
78705,Texan Properties,Multifamily,-97.74625073,30.29064945
78705,Quarters on Campus,Multifamily,-97.74630853,30.28550747
78705,Quarters at Campus,Multifamily,-97.74390448,30.28679177
78705,Quarters at Campus,Multifamily,-97.74501122,30.28685336
78705,American Campus Communities,Multifamily,-97.74346368,30.29111022
78705,American Campus Communities,Multifamily,-97.7494449,30.29051861
78705,American Campus Communities,Multifamily,-97.74622540000001,30.28958455
78705,American Campus Communities,Multifamily,-97.74515909,30.28957953
78705,American Campus Communities,Multifamily,-97.74366717,30.29507208
78705,American Campus Communities,Multifamily,-97.74671373,30.28706135
78705,Alex Ray,Multifamily,-97.74734934,30.28963999
78705,CA Ventures,Multifamily,-97.74474277,30.2842162
78705,American Campus Communities,Multifamily,-97.74701685,30.28561668
78705,Peak Campus,Multifamily,-97.74257135,30.29099868
78705,Lynx Property Services,Multifamily,-97.74552828,30.29161949
78705,Ana Santos,Multifamily,-97.74746589,30.28498076
